City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
520,porto velho,-8.7619,-63.9039,28.03000000000003,78,20,1.54,BR,1706972094
521,hilo,19.7297,-155.09,18.850000000000023,95,100,7.2,US,1706972094
522,la sarre,48.8002,-79.1996,-8.019999999999982,87,23,3.34,CA,1706972094
523,deniliquin,-35.5333,144.9667,24.650000000000034,23,100,1.82,AU,1706972095
524,xilin hot,43.9667,116.0333,-24.359999999999985,94,5,2.33,CN,1706972095
525,dalandzadgad,43.5708,104.425,-12.269999999999982,60,91,2.93,MN,1706972095
526,cuxhaven,53.8718,8.6909,8.310000000000002,93,75,8.75,DE,1706972095
527,sulecin,52.4443,15.1168,10.5,84,100,6.96,PL,1706972095
528,siwa oasis,29.2041,25.5195,16.470000000000027,33,0,2.76,EG,1706972096
529,kondagaon,19.6,81.6667,19.420000000000016,38,16,2.37,IN,1706972096
530,puerto santa,-8.9906,-78.6456,24.970000000000027,79,76,3.22,PE,1706972096
531,veselyy,47.0934,40.7422,1.580000000000041,81,100,7.39,RU,1706972096
532,revda,56.801,59.9303,-10.199999999999989,94,100,3.94,RU,1706972046
533,iskilip,40.7353,34.4739,3.5,61,53,2.22,TR,1706972097
534,khamis mushait,18.3064,42.7292,18.340000000000032,55,20,7.2,SA,1706972097
535,sorong,-0.8833,131.25,27.77000000000004,82,52,6.47,ID,1706972097
536,frontera,26.9333,-101.45,19.379999999999995,47,0,2.06,MX,1706972097
537,khasab,26.1799,56.2477,19.54000000000002,48,32,7.68,OM,1706972098
538,moyale,3.5167,39.0584,24.5,56,99,6.38,KE,1706972098
539,hindoria,23.9,79.5667,20.74000000000001,37,2,1.34,IN,1706972098
540,tottori,35.5,134.2333,4.5,79,100,1.89,JP,1706972098
541,pokhara,28.2333,83.9833,11.450000000000045,41,0,2.35,NP,1706972098
542,wakkanai,45.4094,141.6739,-4.949999999999989,67,100,1.79,JP,1706972099
543,cheat lake,39.672,-79.8534,0.75,86,100,2.06,US,1706972099
544,denison,33.7557,-96.5367,12.189999999999998,94,75,4.12,US,1706971953
545,bahawalnagar,30.5508,73.3908,13.230000000000018,45,4,2.9,PK,1706972099
546,bayreuth,49.9481,11.5783,7.890000000000043,89,100,2.24,DE,1706972100
547,letlhakeng,-24.0944,25.0298,33.33000000000004,19,68,1.65,BW,1706972100
548,hami,42.8,93.45,-3.9399999999999977,67,9,1.41,CN,1706972100
549,tobruk,32.0836,23.9764,14.78000000000003,60,45,5.27,LY,1706972100
550,kenitra,34.261,-6.5802,18.420000000000016,40,4,4.47,MA,1706972101
551,mont-laurier,46.5501,-75.4993,-9.20999999999998,86,95,0.29,CA,1706971984
552,darhan,49.4867,105.9228,-21.97999999999999,97,100,1.37,MN,1706972101
553,jayapura,-2.5333,140.7,25.660000000000025,91,89,2.45,ID,1706972101
554,mahina,-17.5065,-149.489,24.870000000000005,78,75,1.03,PF,1706972101
555,sechura,-5.5569,-80.8222,26.950000000000045,67,83,2.75,PE,1706972102
556,cavnic,47.6667,23.8667,-1.4499999999999886,99,100,0.97,RO,1706972102
557,kurchum,48.5722,83.6542,-14.370000000000005,92,100,1.59,KZ,1706972102
558,margate,51.3813,1.3862,13.260000000000048,76,100,3.13,GB,1706971930
559,manokwari,-0.8667,134.0833,26.03000000000003,83,38,1.79,ID,1706972103
560,shenjiamen,29.9576,122.298,6.430000000000007,91,100,8.99,CN,1706972103
561,mount kisco,41.2043,-73.7271,2.3600000000000136,68,0,8.75,US,1706972103
562,murun-kuren,49.6342,100.1625,-18.299999999999983,85,100,0.21,MN,1706972103
563,saint-leu,-21.15,55.2833,25.480000000000018,77,31,6.35,RE,1706972104
564,praia,14.9215,-23.5087,29.30000000000001,42,77,7.72,CV,1706972104
565,ondangwa,-17.9167,15.95,29.920000000000016,41,100,1.84,,1706972104
566,les cayes,18.2,-73.75,26.430000000000007,66,4,1.74,HT,1706972104
567,cloquet,46.7216,-92.4594,-2.569999999999993,97,100,2.06,US,1706972105
568,goderich,43.7501,-81.7165,-2.269999999999982,93,6,0.51,CA,1706972105
569,baise city,23.8997,106.6133,20.77000000000004,86,0,1.83,CN,1706972105
570,zaysan,47.4667,84.8667,-12.829999999999984,85,91,1.79,KZ,1706972105
571,qaryat suluq,31.6682,20.2521,14.82000000000005,71,100,3.4,LY,1706972106
572,kapuskasing,49.4169,-82.4331,-6.949999999999989,73,20,5.14,CA,1706972106
573,fukuecho,32.6881,128.8419,11.020000000000039,91,100,9.15,JP,1706972106
574,kapit,2.0167,112.9333,23.960000000000036,99,98,0.11,MY,1706972106
575,ouro preto do oeste,-10.7481,-62.2158,29.310000000000002,69,78,2.05,BR,1706972107
576,fort stockton,30.894,-102.8793,9.53000000000003,52,40,7.2,US,1706972107
577,moranbah,-22.0016,148.0466,24.610000000000014,75,55,5.02,AU,1706972107
578,solnechnyy,50.7214,136.6319,-27.75999999999999,97,21,1.43,RU,1706972107
579,broome,42.2506,-75.833,-1.169999999999959,84,100,4.12,US,1706972108
580,arkhangel'sk,64.5401,40.5433,-4.939999999999998,100,100,3.0,RU,1706972108
581,ha'il,27.5219,41.6907,15.010000000000048,31,0,0.0,SA,1706972108
582,choibalsan,48.0667,114.5,-22.649999999999977,86,1,2.17,MN,1706972109
583,shimoda,34.6667,138.95,7.28000000000003,67,100,0.64,JP,1706972109
584,vila franca do campo,37.7167,-25.4333,18.27000000000004,99,9,4.15,PT,1706972109
585,hirara,24.8,125.2833,21.150000000000034,94,100,1.54,JP,1706972109
586,zhujiajiao,31.1076,121.057,5.020000000000039,91,100,3.66,CN,1706972110
587,poronaysk,49.2167,143.1167,-21.67999999999998,95,9,2.38,RU,1706972110
